"Evaluation Only. Created with Aspose.PDF. Copyright 2002-2023 Aspose Pty Ltd."
"EVENTO DE VOTACIÓN # 9
APROBACIÓN DE LA REDACCIÓN FINAL DEL PROYECTO 
DE DECRETO QUE DISPONE APROBAR LA INICIATIVA DE ","Fecha y Hora: 
20-09-2023 13:09:00"
"LEY 6208 SESIÓN No.9",""
"","No.","NOMBRE","BLOQUE","VOTO EMITIDO"
"1","","Hellen Magaly Alexandra Ajcip Canel","PARTIDO POLÍTICO VISIÓN 
CON VALORES","A FAVOR"
"2","","Cristian Rodolfo Alvarez y Alvarez","COMPROMISO, 
RENOVACIÓN Y ORDEN","A FAVOR"
"3","","Sergio David Arana Roca","VAMOS POR UNA 
GUATEMALA DIFERENTE","A FAVOR"
"4","","Antonio Fernando Arenales Forno","PARTIDO VALOR","A FAVOR"
"5","","César Bernardo Arévalo De León","MOVIMIENTO SEMILLA","A FAVOR"
"6","","Byron Wilfredo Arreaga Alonzo","UNIÓN DEL CAMBIO 
NACIONAL","A FAVOR"
"7","","Alvaro Enrique Arzú Escobar","PARTIDO UNIONISTA","A FAVOR"
"8","","Mario René Azurdia Fernández","VAMOS POR UNA 
GUATEMALA DIFERENTE","A FAVOR"
"9","","Esteban Rubén Barrios Galindo","PARTIDO VALOR","A FAVOR"
"10","","Edgar Stuardo Batres Vides","MOVIMIENTO POLÍTICO 
WINAQ","A FAVOR"
"11","","Oto Leonel Callejas","TODOS","A FAVOR"
"12","","Alfredo Adolfo Caniz Ajpacajá","TODOS","A FAVOR"
"13","","Karla Betzaida Cardona Arreaga de Pojoy","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"14","","Román Wilfredo Castellanos Caal","MOVIMIENTO SEMILLA","A FAVOR"
"15","","María Eugenia Castellanos Pinelo de Pineda","VAMOS POR UNA 
GUATEMALA DIFERENTE","A FAVOR"
"16","","José Inés Castillo Martínez","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"17","","Napoleon Castillo Santos","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"18","","Maynor Estuardo Castillo y Castillo","UNIÓN DEL CAMBIO 
NACIONAL","A FAVOR"
"Evaluation Only. Created with Aspose.PDF. Copyright 2002-2023 Aspose Pty Ltd."
"EVENTO DE VOTACIÓN # 9
APROBACIÓN DE LA REDACCIÓN FINAL DEL PROYECTO 
DE DECRETO QUE DISPONE APROBAR LA INICIATIVA DE ","Fecha y Hora: 
20-09-2023 13:09:00"
"LEY 6208 SESIÓN No.9",""
"","No.","NOMBRE","BLOQUE","VOTO EMITIDO"
"19","","Jorge Romeo Castro Delgado","PARTIDO POLÍTICO VISIÓN 
CON VALORES","A FAVOR"
"20","","Sergio Leonid Chacón Tarot","PARTIDO VALOR","A FAVOR"
"21","","Mario Chen Yat","MOVIMIENTO SEMILLA","A FAVOR"
"22","","Oscar Stuardo Chinchilla Guzmán","COMPROMISO, 
RENOVACIÓN Y ORDEN","A FAVOR"
"23","","Hector Manuel Choc Caal","INDEPENDIENTES","A FAVOR"
"24","","Guillermo Alberto Cifuentes Barragán","VAMOS POR UNA 
GUATEMALA DIFERENTE","A FAVOR"
"25","","Manuel Eduardo Conde Orellana","PARTIDO DE AVANZADA 
NACIONAL","A FAVOR"
"26","","Luis Alberto Contreras Colindres","COMPROMISO, 
RENOVACIÓN Y ORDEN","A FAVOR"
"27","","Luis Fernando Cordón Orellana","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"28","","Gustavo Adolfo Crúz Montoya","BIENESTAR NACIONAL","A FAVOR"
"29","","José Alejandro De León Maldonado","PODEMOS","A FAVOR"
"30","","Gerardín Ariel Díaz Mazariegos","PARTIDO VALOR","A FAVOR"
"31","","Edgar Rubén Dubón García","TODOS","A FAVOR"
"32","","Rubén Misael Escobar Calderón","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"","","","UNIDAD REVOLUCIONARIA ",""
"33","","Walter Rolando Félix López","NACIONAL ","A FAVOR"
"","","","GUATEMALTECA - MAIZ -",""
"34","","Andy Arnoldo Figueroa Gil","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
